id,name,description,label,prediction,probability_quality_1,distance_from_threshold,rule_label,rule_codes,rule_terms
4373,"NOW Super Omega 3-6-9, 1200 mg, Супер Омега 3-6-9, 180 капсул","now foods super omega 3-6-9 / супер омега 3-6-9 1200 мг 180 гелевых капсул супер омега 3-6-9 — это высококачественная пищевая добавка, которая обеспечивает организм жирными кислотами. витаминный комплекс нау фудс содержит мощную комбинацию кислот, которые улучшают здоровье сердца, мозга и суставов.о",0,1,0.9909376206936625,0.5259376206936626,1,bad_acronym,бад
4011,"LIFE Extension Potassium Iodide таблs 130 mg, 14 табл.","комплекс на основе йода и калия поддерживает здоровье щитовидной системы бады для щитовидки. эти вещества необходимы для оптимальной работы организма, играя важную роль в обмене веществ. употребление таких добавок как калий йод благоприятно сказывается на функционировании органов и нервной системы. ",0,1,0.9754795813139706,0.5104795813139706,1,bad_acronym|bad_full_name,бады|биологически активные добавки
7911,Витаминно -минеральный комплекс для укрепления костей BoneUp 3 per day,"основные компоненты: в 1 капсуле содержится витамин с — 33,3 мг, витамин d — 8,3 мкг, в том числе кальций — 333,3 мг. полный перечень ингредиентов смотрите во вкладке «состав». заметили ломкость ногтей, выпадение волос? пора задуматься о том, чтобы принимать его. кальций в капсулах boneup 3 per day ",0,1,0.970261350944297,0.5052613509442971,1,bad_acronym,бад
8366,Now БАД для сна 3 мг 60 капс для иммунитета,"содержание питательных веществ в порции (1 капс.) продукта: мелатонин 3 мг рекомендации по применению: принимайте по 1 капсуле ежедневно во время еды. now melatonin 3 мг - спортивная добавка на основе вещества мелатонин. продукт относится к категории средств, используемых с целью корректировки суточ",0,1,0.9666021798309626,0.5016021798309627,1,bad_acronym,бад
2632,Веганские мультивитамины Sana-sol Комплексная пищевая добавка для взрослых и подростков Moni 150 шт (Финляндия),"универсальный мультивитаминный и микроэлементный препарат специально для веганов и вегетарианцев. мультивитамины sana-sol vegan содержат защитные питательные вещества, которые следует принимать во внимание веганам или вегетарианцам. легко проглатываемые таблетки миндалевидной формы содержат витамины",0,1,0.9609345648372599,0.49593456483726,1,bad_full_name,биологически активная добавка
10304,Витамин A 100 капсул 10000 МЕ,"now foods – это витаминный комплекс, включающий в себя витамин а, который подойдет как для подростков, так и для взрослых людей. ретинол очень важен для человека т.к. он повышает иммунитет организма, восстанавливает остроту зрения, поддерживает здоровое состояние слизистых оболочек, восстанавливает ",0,1,0.9568326525464259,0.491832652546426,1,bad_acronym,бад
6036,"Efalex Efamol Германия Эфалекс витаминный сироп для детей комплекс омега 3, масло вечерней примулы, витамин Е, 150 мл","efalex – это витаминный сироп для детей и взрослых. этот жидкий комплекс создан для поддержания здоровья глаз, иммунитета и общего благополучия. в его состав входят омега-3, масло вечерней примулы и витамин е. омега-3 жирные кислоты важны для нормальной работы мозга и сердца. масло вечерней примулы ",0,1,0.9539058041241094,0.4889058041241095,1,bad_acronym,бады
10783,"Efalex Efamol Германия Эфалекс витаминный сироп для детей комплекс омега 3, масло вечерней примулы, витамин Е, 150 мл","efalex – это витаминный сироп для детей и взрослых. этот жидкий комплекс создан для поддержания здоровья глаз, иммунитета и общего благополучия. в его состав входят омега-3, масло вечерней примулы и витамин е. омега-3 жирные кислоты важны для нормальной работы мозга и сердца. масло вечерней примулы ",0,1,0.9539058041241094,0.4889058041241095,1,bad_acronym,бады
9823,"NOW Альфа липоевая кислота 600 мг нау фудс Alpha Lipoic Acid 600 mg 60 капсул Антиоксидант, бад для похудения, контроль аппетита, для энергии",представляем вашему вниманию высококачественный витамин от известного бренда now foods - альфа липоевая кислота 600 мг в форме вегетарианских капсул. этот продукт с повышенной силой действия (extra strength) содержит мощную дозировку 600 мг активного вещества в каждой капсуле. ищете натуральную доба,0,1,0.9526978537288631,0.48769785372886315,1,bad_acronym,бад
4901,"Витамин Д3, витаминный комплекс для женщин, мужчин и спортсменов, Healthy Origins, Vitamin D3 10000 ME 120 капсул, Vitamin D3 Healthy Origins",капсулы с витамином d3 предоставляют этот важнейший витамин в легкоусвояемой жидкой форме. обычно витамин d попадает в организм из еды либо вырабатывается кожей под воздействием солнечных ультрафиолетовых лучей. однако в еде он содержится в недостаточном количестве. поскольку многие люди стараются и,0,1,0.9479216702832032,0.48292167028320326,1,bad_acronym,бад
